contrast_id	ENSEMBL	SYMBOL	GENENAME	ENTREZID	log2fc_isst_flight_vs_gc	stat_isst_flight_vs_gc	pvalue_isst_flight_vs_gc	padj_isst_flight_vs_gc	group_mean_isst_gc	group_stdev_isst_gc	group_mean_isst_flight	group_stdev_isst_flight
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110644				-0.575966595529422	-0.569075301363778	0.569305038897431		2.16963271841615	1.85273860930625	1.7813733329447	1.0983886767136
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110647				0.326657530040653	1.11167475417749	0.266278018286216	0.868214012280446	14.8279302071224	5.98839275633681	18.0778783274962	8.90825019532625
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110649				0.0799851480829984	0.321360693847971	0.747937066395225	0.985935005110786	17.6949542417101	6.12185228775497	18.6140509076799	5.48075640009683
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110650	Gm19170	upstream binding transcription factor, RNA polymerase I-like 1 pseudogene	100418379	0.195628229838842	0.14386478781303	0.885607241632145		1.2446589829233	0.526764469937474	1.27841367115419	0.609764664619329
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110652	Gm33023	predicted gene, 33023	102635769	-0.0120375348883701	-0.0365198749437682	0.970867831365505	0.999034847122322	18.2957252229205	10.1717334903396	17.6340521161173	9.59650072038743
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110654				0.173543679855683	0.292722385436226	0.769734357903307	0.987997025840104	4.15809473186749	2.3767848905247	4.45275131916361	2.44911481370224
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110656	Gm20735	predicted gene, 20735	319574	-1.87241241533026	-2.34874921665991	0.0188365889170167		4.83322785752546	3.74417639607882	1.95324972150397	1.34442654958583
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110658				-0.847128541531125	-1.03298622283184	0.301610346103576		3.47283237029786	3.11348105939546	2.37626711716004	1.86341161937672
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110659				-1.57249275601496	-0.953566747712801	0.340302994324991		2.17751026740474	2.02626323000375	1.41570486945331	0.768782175194413
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110660	Gm5362	topoisomerase (DNA) II alpha) pseudogene	384911	-0.171184519950762	-0.372889601459167	0.709230611608256	0.984618171506329	18.5104753791316	17.1021097440963	16.4567840913351	20.1543121730592
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110661				-0.772523929415299	-1.01989735696752	0.30777714317907		2.93417901335137	2.66528333167072	2.10012138909823	1.15468058637554
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110663				-0.365256223243779	-0.256764171324881	0.797360830109714		2.52342918258823	3.29982628753102	2.19955240155382	1.43774367127209
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110665				0.759246900880863	0.310616767122755	0.756091978991216		1.0	0.0	1.27343386011559	0.448317516663022
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110666	Gm9172	general transcription factor IIB pseudogene	668444	0.934417281909054	1.52075324295324	0.128321771984574	0.720420425939454	2.97336935404993	2.15556559143285	4.75269086357783	3.4203293886542
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110669	Gm10060	NSFL1 (p97) cofactor (p47) pseudogene	100041567	-0.238287628349772	-0.414440615628396	0.678551449034873	0.983222678923462	7.61746635339547	7.65680746239136	6.60984541225711	4.2105418783622
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110670				-0.103526767280534	-0.101733387736352	0.91896830004235		1.87038408017612	1.69242552101057	2.43473625311151	2.5651968659736
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110672				-1.29139200916949	-1.43921887643453	0.150088518807401		2.59863350759049	2.17999704245929	1.60250257659204	1.59169591243111
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110673				-0.426601582602451	-0.446215404879807	0.655441656286963		1.93406816362603	1.01420064446738	1.70610675479864	0.989582905136939
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110676				2.25639452006787	2.11854960529083	0.0341285484913836		1.27159514211243	0.59732125490317	2.71071473937723	1.73611913335892
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110679	Rpl10-ps5	ribosomal protein L10, pseudogene 5	100041555	1.48427758855726	1.14187799997067	0.253504734472415		1.62492065435903	0.965778801209685	2.53792608110902	2.93361323866722
